epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,19112.4,1.62399,1.23256,1.2341,0.76762,0.63596,0.70548,0.43487,1.46023,0.94767,1.19664,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,19715.8,1.63027,1.24025,1.2339,0.7719,0.63865,0.70835,0.43644,1.4593,0.94613,1.19546,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,20320.4,1.62578,1.22539,1.23468,0.77311,0.64,0.70997,0.43751,1.45735,0.9443,1.1946,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,20922.1,1.62739,1.23706,1.23241,0.77984,0.63546,0.71129,0.43835,1.4559,0.94102,1.19338,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,21528.1,1.62545,1.23414,1.22743,0.76521,0.64634,0.71464,0.44084,1.45336,0.94114,1.19207,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,22130.7,1.61444,1.21527,1.22538,0.77601,0.64379,0.71764,0.44296,1.45094,0.93711,1.19004,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,22736.7,1.61911,1.21998,1.22598,0.77027,0.64827,0.71847,0.44343,1.44953,0.93362,1.18835,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,23341.1,1.61798,1.21762,1.22133,0.77548,0.65057,0.72051,0.44473,1.4485,0.93082,1.18822,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,23944,1.61391,1.21326,1.21911,0.7738,0.65385,0.72368,0.44685,1.4465,0.92954,1.1859,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,24549.8,1.60965,1.20721,1.22287,0.7745,0.65432,0.7249,0.44767,1.44503,0.92586,1.18491,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,25156.4,1.61127,1.20752,1.22215,0.78914,0.64563,0.72619,0.44894,1.44299,0.92407,1.18375,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,25759.9,1.61092,1.21235,1.21949,0.78833,0.64841,0.72786,0.44986,1.44198,0.92129,1.18143,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,26368.5,1.60768,1.20188,1.2204,0.78307,0.65436,0.73114,0.45152,1.44284,0.9169,1.18125,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,26973.1,1.612,1.21129,1.2191,0.78198,0.65603,0.73152,0.45267,1.44193,0.91873,1.18058,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,27578.5,1.60365,1.20389,1.21823,0.79205,0.6561,0.73233,0.45364,1.44091,0.91696,1.1802,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,28184.1,1.60499,1.19899,1.21703,0.78783,0.65696,0.73166,0.45306,1.43995,0.917,1.17923,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,28788.5,1.60578,1.20836,1.21461,0.77847,0.65969,0.72983,0.45252,1.43926,0.91977,1.17873,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,29391.7,1.59882,1.18767,1.21506,0.77856,0.65791,0.72729,0.45161,1.43855,0.92814,1.17856,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,29998,1.5971,1.19228,1.2125,0.78327,0.64895,0.72108,0.44871,1.43633,0.93916,1.17695,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,30601.1,1.59798,1.19048,1.21209,0.76675,0.6575,0.71916,0.44734,1.43414,0.94413,1.17578,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,31203.5,1.59343,1.18645,1.20805,0.77987,0.64925,0.72187,0.44962,1.43381,0.94031,1.17516,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,31811.8,1.58965,1.18699,1.20953,0.78088,0.65343,0.72906,0.45438,1.43504,0.92698,1.17586,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,32414.7,1.59387,1.18257,1.21037,0.79583,0.65169,0.73339,0.45705,1.43482,0.91721,1.17574,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,33019.2,1.59595,1.18651,1.20537,0.79732,0.65612,0.73737,0.45922,1.43342,0.91089,1.17473,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,33624.1,1.58877,1.18006,1.2064,0.78973,0.66103,0.73731,0.45904,1.43281,0.9092,1.17389,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,34229.4,1.58299,1.18565,1.2024,0.79584,0.66054,0.73584,0.45823,1.43109,0.91196,1.17283,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,34831.3,1.5854,1.18442,1.20751,0.79381,0.66338,0.73766,0.45839,1.42915,0.90832,1.17246,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,35438.4,1.57978,1.16856,1.2029,0.79152,0.66775,0.74048,0.46069,1.42907,0.90202,1.1725,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,36040.4,1.58299,1.16586,1.2018,0.80291,0.66368,0.74403,0.46247,1.42863,0.8979,1.17181,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,36647.5,1.58463,1.17354,1.20132,0.79729,0.66449,0.74409,0.4631,1.42782,0.8955,1.17153,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,37251.6,1.57559,1.16666,1.20275,0.79786,0.66588,0.74548,0.46478,1.42631,0.89377,1.17095,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,37857.7,1.57569,1.16644,1.19946,0.81359,0.66065,0.74807,0.46607,1.42752,0.88833,1.17051,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
