epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6464.45,1.47011,1.08485,0.0092,0.81352,0.67783,0.75162,0.40487,1.57167,1.03589,0.00876,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,6678.37,1.46786,1.09082,0.00923,0.82509,0.69049,0.77314,0.42052,1.5457,0.83881,0.00852,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,6892.66,1.47547,1.08785,0.00912,0.83789,0.69022,0.77472,0.42485,1.55223,0.82069,0.00848,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,7106.57,1.47055,1.09554,0.00932,0.84409,0.71195,0.78983,0.44244,1.49798,0.79844,0.00821,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,7321.28,1.4655,1.08019,0.00911,0.84861,0.71259,0.80141,0.44793,1.49347,0.78043,0.00809,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,7535.75,1.45435,1.05512,0.00893,0.81558,0.7067,0.78704,0.43859,1.52686,0.81486,0.00832,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,7749.58,1.44537,1.03613,0.00904,0.81447,0.69567,0.76549,0.42754,1.55004,0.98967,0.00858,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,7963.67,1.457,1.05395,0.00898,0.83923,0.70837,0.80197,0.45513,1.47468,0.77068,0.00799,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,8178.6,1.45233,1.06032,0.00918,0.83257,0.7182,0.79687,0.44768,1.50722,0.85835,0.00833,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,8392.34,1.45084,1.04965,0.0091,0.8553,0.72343,0.81383,0.45868,1.48577,0.78719,0.00806,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,8607.18,1.43968,1.04708,0.00907,0.84162,0.74496,0.82071,0.46464,1.46717,0.75264,0.00798,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,8823.02,1.45117,1.05527,0.009,0.85095,0.73476,0.82155,0.45948,1.48308,0.75405,0.00799,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,9037.59,1.45235,1.04626,0.00902,0.85734,0.74852,0.82984,0.4771,1.4312,0.73469,0.0077,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,9252,1.44201,1.02977,0.00891,0.86581,0.733,0.82221,0.47839,1.42768,0.7542,0.00763,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,9466.6,1.45313,1.04052,0.00895,0.85791,0.73339,0.81883,0.47252,1.4396,0.75143,0.00771,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,9680.58,1.45245,1.03523,0.00883,0.87042,0.74206,0.83187,0.48115,1.42324,0.74367,0.00764,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,9895.45,1.43909,1.04431,0.00902,0.86773,0.74559,0.83453,0.48506,1.42443,0.72996,0.00761,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,10110.7,1.44149,1.03638,0.00883,0.87469,0.74518,0.83794,0.49087,1.40839,0.72348,0.00755,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,10325.3,1.44615,1.02082,0.00897,0.87462,0.74352,0.83679,0.48552,1.42065,0.74566,0.0076,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,10539.2,1.43321,1.01764,0.00873,0.85697,0.76153,0.83992,0.4904,1.41437,0.72228,0.00754,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,10753.6,1.43355,1.02532,0.00882,0.87504,0.75015,0.84336,0.49456,1.39143,0.725,0.00744,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,10968.2,1.4355,1.01628,0.00892,0.86426,0.76566,0.84594,0.49619,1.391,0.71856,0.0074,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,11182.8,1.42808,1.01295,0.00895,0.86196,0.75296,0.83633,0.48627,1.41717,0.76173,0.00765,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,11397.2,1.43398,1.03451,0.00896,0.84604,0.76931,0.84613,0.49423,1.38746,0.72875,0.00741,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,11611.2,1.43059,1.01686,0.0089,0.86971,0.76298,0.84914,0.50012,1.38464,0.71921,0.00739,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,11825.7,1.43949,1.01572,0.00872,0.8619,0.7704,0.85252,0.50305,1.37936,0.72577,0.00734,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,12040.4,1.41579,1.00152,0.00895,0.86048,0.7642,0.84373,0.4981,1.37351,0.74737,0.00729,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,12254.4,1.4426,1.02526,0.00874,0.86584,0.77408,0.85474,0.50988,1.36027,0.71508,0.00719,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,12468.9,1.40815,0.99907,0.00885,0.87812,0.77631,0.86299,0.51384,1.36274,0.70041,0.00722,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,12683.1,1.43636,1.00847,0.00892,0.87276,0.77782,0.86236,0.51218,1.36008,0.69686,0.00722,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,12897.5,1.41333,0.9975,0.00877,0.87169,0.76928,0.85635,0.50798,1.35946,0.69795,0.00718,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,13111.5,1.41699,0.99874,0.00877,0.86311,0.78285,0.86204,0.51226,1.35745,0.69774,0.00718,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,13325.3,1.42298,0.99974,0.0087,0.86897,0.78339,0.86503,0.51694,1.35431,0.68925,0.00716,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,13540.1,1.41043,0.98284,0.00869,0.87417,0.77679,0.86227,0.51668,1.3475,0.68936,0.00711,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,13754.3,1.40427,0.98033,0.00882,0.87811,0.77773,0.86522,0.51899,1.34253,0.69026,0.00709,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,13968.7,1.40798,0.97598,0.00865,0.88218,0.77917,0.86722,0.52159,1.33858,0.69049,0.00706,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,14183.3,1.41699,0.9862,0.00875,0.8879,0.78548,0.86874,0.5234,1.3394,0.69447,0.00706,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,14397.3,1.41236,0.98322,0.0087,0.8851,0.78285,0.86674,0.52296,1.33479,0.69159,0.00703,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,14611.6,1.40443,0.97967,0.00875,0.8798,0.78091,0.86552,0.52438,1.33296,0.69554,0.00701,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,14826.3,1.399,0.98184,0.00868,0.88448,0.77898,0.86659,0.52445,1.33114,0.6943,0.007,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,15040.8,1.40523,0.98528,0.00876,0.88217,0.781,0.86667,0.52293,1.33422,0.69018,0.00702,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,15255,1.39083,0.96759,0.00878,0.88465,0.77923,0.86599,0.52399,1.33154,0.68966,0.00701,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,15469.2,1.4079,0.97047,0.00879,0.87234,0.78526,0.86084,0.52155,1.32901,0.69843,0.00701,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,15682.9,1.39861,0.97976,0.0088,0.85331,0.78737,0.85644,0.51906,1.32329,0.71398,0.00697,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,15896.5,1.39595,0.9631,0.00868,0.85398,0.79287,0.86145,0.52127,1.32437,0.70772,0.00699,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,16110.7,1.41074,0.97201,0.00871,0.86738,0.7866,0.86194,0.52004,1.32312,0.70331,0.007,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,16324.7,1.38818,0.95005,0.00867,0.86769,0.78696,0.86308,0.51957,1.32547,0.69919,0.00701,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,16539,1.40612,0.97392,0.00864,0.87558,0.78057,0.86689,0.5212,1.32362,0.69227,0.00699,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,16753,1.39423,0.95538,0.00865,0.87752,0.78673,0.86939,0.52266,1.32279,0.68966,0.00697,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,16966.9,1.38918,0.95354,0.00868,0.88044,0.78785,0.87097,0.52277,1.32344,0.68704,0.00698,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
