epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10707.8,1.41861,0.89795,0.00694,0.85206,0.75982,0.83658,0.53831,1.26667,0.7263,0.00681,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,11063,1.41312,0.89463,0.00697,0.84967,0.76111,0.83751,0.539,1.26516,0.72615,0.0068,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,11418.2,1.42673,0.90007,0.00701,0.85113,0.76161,0.8375,0.53946,1.26335,0.72435,0.0068,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,11774.3,1.43342,0.89885,0.00703,0.84742,0.76412,0.83824,0.54033,1.26268,0.72242,0.00679,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,12129.8,1.42417,0.88798,0.0069,0.84444,0.76568,0.83876,0.54176,1.26103,0.72075,0.00679,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,12484,1.40777,0.88946,0.00683,0.84712,0.76443,0.83846,0.54223,1.25826,0.72238,0.00677,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,12839.1,1.40005,0.85699,0.00687,0.8351,0.77264,0.83908,0.54337,1.25721,0.72059,0.00677,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,13194.3,1.41442,0.88222,0.0068,0.84064,0.76925,0.83824,0.54375,1.25526,0.72017,0.00676,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,13548.8,1.41011,0.88298,0.00699,0.84108,0.76917,0.83914,0.54444,1.25336,0.71927,0.00676,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,13904.5,1.41246,0.88188,0.00695,0.84746,0.76485,0.83793,0.54442,1.25253,0.71879,0.00675,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,14259.8,1.39482,0.87648,0.00682,0.83859,0.76912,0.83818,0.54437,1.25127,0.71812,0.00675,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,14614.9,1.39119,0.86003,0.00677,0.83874,0.76616,0.83783,0.54478,1.24971,0.71894,0.00674,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,14970.7,1.39696,0.86926,0.00683,0.84751,0.76256,0.83774,0.54526,1.24713,0.71778,0.00672,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,15324.1,1.40056,0.86017,0.0068,0.84834,0.76249,0.83827,0.54585,1.2459,0.71655,0.00671,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,15678.1,1.39707,0.86412,0.00669,0.84313,0.76726,0.83894,0.54661,1.24526,0.71731,0.0067,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,16033.5,1.39324,0.86251,0.00669,0.83542,0.77064,0.83924,0.54736,1.24386,0.71634,0.00669,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,16387.3,1.38647,0.84735,0.00682,0.83354,0.77308,0.84042,0.54849,1.2427,0.71599,0.00669,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
