epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5761.36,1.49775,1.15666,0.00944,0.77957,0.65815,0.72289,0.38039,1.61756,0.99655,0.00903,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,5955.02,1.50502,1.14741,0.00954,0.80135,0.64515,0.72696,0.39437,1.58888,1.01623,0.0089,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,6146.66,1.51126,1.14238,0.00941,0.80907,0.66266,0.73893,0.40181,1.59692,0.93558,0.00896,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,6337.37,1.5045,1.16906,0.00957,0.82624,0.68521,0.76381,0.41288,1.56875,0.90202,0.00867,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,6527.86,1.50418,1.14613,0.00942,0.80419,0.68434,0.7497,0.42022,1.53813,0.88924,0.00841,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,6719.8,1.48766,1.11996,0.00925,0.81655,0.66974,0.74983,0.41527,1.53695,0.95777,0.00853,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,6909.69,1.47779,1.10406,0.00926,0.81579,0.69244,0.76548,0.42445,1.54326,0.85771,0.00848,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,7101.66,1.49804,1.11603,0.00931,0.81722,0.67611,0.76274,0.421,1.52017,0.83655,0.0083,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,7292.37,1.48508,1.12842,0.00942,0.84638,0.68465,0.77691,0.4329,1.511,0.84471,0.00826,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,7484.11,1.4935,1.11791,0.00947,0.83052,0.70474,0.78551,0.43159,1.52806,0.83127,0.00837,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,7674.51,1.47692,1.11755,0.00936,0.84512,0.69612,0.78478,0.43579,1.52839,0.83337,0.00837,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,7865.6,1.49911,1.12488,0.00942,0.84455,0.67293,0.77076,0.42488,1.52936,0.91487,0.00837,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,8056.93,1.48578,1.12295,0.0093,0.80917,0.70853,0.78023,0.44176,1.50869,0.86813,0.00826,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,8248.46,1.4757,1.09453,0.00919,0.83424,0.70337,0.78873,0.44459,1.50225,0.83262,0.00818,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,8438.61,1.48487,1.11389,0.0092,0.83157,0.71244,0.7875,0.44658,1.48831,0.81891,0.00806,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,8630.77,1.49712,1.10924,0.00917,0.8466,0.71203,0.79559,0.45295,1.48292,0.80217,0.008,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,8821.41,1.48225,1.11436,0.00934,0.83961,0.71361,0.79571,0.45845,1.46399,0.81119,0.00789,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,9013.29,1.48261,1.11388,0.00917,0.84,0.73326,0.80689,0.46133,1.45398,0.78771,0.00787,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,9203.59,1.48273,1.10109,0.00925,0.86027,0.72003,0.81295,0.47253,1.42964,0.76388,0.00773,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,9395.52,1.47622,1.09004,0.0091,0.84645,0.72212,0.80687,0.46503,1.44444,0.7869,0.00777,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,9586.3,1.47748,1.10015,0.00917,0.85893,0.7267,0.81789,0.47026,1.44336,0.76978,0.00776,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,9777.97,1.47114,1.0908,0.00919,0.84562,0.73619,0.81532,0.46921,1.4326,0.78528,0.00771,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,9968.44,1.46643,1.0951,0.00925,0.85177,0.72801,0.81236,0.46991,1.43137,0.78086,0.00768,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,10160,1.46499,1.10268,0.00922,0.83781,0.74404,0.81462,0.4709,1.43058,0.76417,0.00766,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,10350.2,1.46371,1.08844,0.00914,0.85733,0.72727,0.81449,0.4712,1.42464,0.77995,0.0076,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,10542,1.48226,1.07847,0.00907,0.84844,0.73082,0.81715,0.47527,1.43061,0.7646,0.00762,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,10731.8,1.45293,1.0695,0.00921,0.86191,0.73461,0.82451,0.47923,1.41902,0.75438,0.00758,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,10923.6,1.4759,1.1026,0.00904,0.82653,0.74838,0.81977,0.47688,1.42027,0.78759,0.00755,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,11115.2,1.45516,1.08213,0.00922,0.84401,0.74677,0.82249,0.48077,1.41489,0.75929,0.00756,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,11307,1.47611,1.08349,0.00924,0.85108,0.74333,0.82139,0.48101,1.42208,0.76337,0.00759,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,11497.6,1.45158,1.07557,0.00907,0.8511,0.73756,0.81831,0.47555,1.42771,0.79567,0.00762,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,11692.2,1.45728,1.06812,0.00903,0.86403,0.7418,0.82654,0.48162,1.4146,0.75607,0.00752,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,11883.2,1.46109,1.06914,0.00899,0.86519,0.74487,0.82979,0.48591,1.40782,0.75876,0.00747,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,12074.6,1.44947,1.05993,0.00899,0.86564,0.74644,0.83081,0.48918,1.40025,0.75529,0.00742,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,12265.6,1.44608,1.05631,0.00912,0.85191,0.75108,0.83009,0.48987,1.40037,0.76219,0.00743,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,12456.1,1.45095,1.05074,0.00898,0.86045,0.7514,0.83305,0.49221,1.39731,0.76125,0.00742,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,12647.8,1.45068,1.06485,0.00903,0.87022,0.74724,0.83387,0.49456,1.38875,0.75242,0.00737,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,12839.4,1.4522,1.06176,0.00903,0.87115,0.74978,0.83563,0.49494,1.38461,0.74534,0.00735,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
